일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2021-05-18,대구(143),X,23.9,23.5,17.7,13.5,81.0,X, ,X,보통
2021-05-19,대구(143),X,26.9,29.4,22.5,15.8,57.4,X, ,X,매우높음
2021-05-20,대구(143),X,21.2,20.0,16.3,14.7,85.1,X, ,X,보통
2021-05-21,대구(143),X,21.9,21.5,17.6,14.7,69.6,X, ,X,보통
2021-05-22,대구(143),X,26.6,27.5,21.0,13.7,57.6,X, ,X,매우높음
2021-05-23,대구(143),X,28.2,30.8,23.6,14.8,52.5,X, ,X,매우높음
2021-05-24,대구(143),X,26.4,27.5,22.3,18.0,49.8,X, ,X,매우높음
2021-05-25,대구(143),X,22.1,23.7,18.0,13.1,43.5,X, ,X,높음
2021-05-26,대구(143),X,22.6,24.3,18.0,11.2,44.3,X, ,X,매우높음
2021-05-27,대구(143),X,24.8,25.5,18.9,15.0,55.9,X, ,X,보통
2021-05-28,대구(143),X,26.5,28.8,16.7,10.7,71.6,X, ,X,매우높음
2021-05-29,대구(143),X,24.6,26.3,20.4,14.9,49.4,X, ,X,매우높음
2021-05-30,대구(143),X,26.6,28.5,20.6,13.3,56.5,X, ,X,매우높음
2021-05-31,대구(143),X,27.8,28.9,20.7,15.5,67.1,X, ,X,높음
2021-06-01,대구(143),X,28.0,29.7,22.8,15.9,57.6,X, ,X,매우높음
2021-06-02,대구(143),X,28.4,30.2,23.8,18.2,51.9,X, ,X,매우높음
2021-06-03,대구(143),X,23.2,19.9,18.7,16.7,88.4,X, ,X,보통
2021-06-04,대구(143),X,25.1,27.0,21.3,17.1,53.9,X, ,X,매우높음
2021-06-05,대구(143),X,28.8,30.4,23.1,13.7,51.8,X, ,X,매우높음
2021-06-06,대구(143),X,29.3,30.4,23.9,18.2,62.1,X, ,X,매우높음
2021-06-07,대구(143),X,29.4,31.4,25.3,18.4,56.3,X, ,X,매우높음
2021-06-08,대구(143),X,30.6,33.2,25.4,20.5,54.0,X,관심,X,매우높음
2021-06-09,대구(143),X,30.3,32.7,25.3,19.9,50.5,X,관심,X,매우높음
2021-06-10,대구(143),X,28.8,30.5,24.2,19.1,57.1,X, ,X,매우높음
2021-06-11,대구(143),X,27.4,25.5,22.1,20.1,84.8,X, ,X,보통
2021-06-12,대구(143),X,28.7,28.0,24.1,20.6,74.8,X, ,X,보통
2021-06-13,대구(143),X,30.9,31.7,25.4,21.6,69.0,X, ,X,매우높음
2021-06-14,대구(143),X,28.1,28.0,23.9,21.1,69.4,X, ,X,높음
2021-06-15,대구(143),X,25.2,23.9,21.4,19.7,76.0,X, ,X,보통
2021-06-16,대구(143),X,24.2,23.0,20.4,17.9,73.5,X, ,X,높음
2021-06-17,대구(143),X,24.4,23.4,20.0,18.3,70.6,X, ,X,보통
2021-06-18,대구(143),X,27.9,26.7,22.3,17.9,73.6,X, ,X,높음
2021-06-19,대구(143),X,29.2,31.3,25.3,19.6,51.1,X, ,X,매우높음
2021-06-20,대구(143),X,30.4,33.9,25.9,18.1,47.1,X, ,X,매우높음
2021-06-21,대구(143),X,29.1,31.6,23.9,19.4,50.9,X, ,X,매우높음
2021-06-22,대구(143),X,26.4,26.5,20.7,17.7,67.3,X, ,X,보통
2021-06-23,대구(143),X,25.0,24.4,20.4,17.6,68.9,X, ,X,보통
2021-06-24,대구(143),X,27.6,28.5,23.0,18.9,62.0,X, ,X,높음
2021-06-25,대구(143),X,29.1,29.8,23.5,18.6,70.6,X, ,X,매우높음
2021-06-26,대구(143),X,27.9,27.2,22.8,20.1,72.9,X, ,X,높음
2021-06-27,대구(143),X,29.1,29.9,24.0,19.1,63.0,X, ,X,매우높음
2021-06-28,대구(143),X,28.0,28.0,23.9,21.3,64.3,X, ,X,높음
2021-06-29,대구(143),X,29.0,30.0,24.6,20.3,64.0,X, ,X,높음
2021-06-30,대구(143),X,29.4,29.6,24.4,21.7,67.0,X,관심,X,보통
2021-07-01,대구(143),X,29.9,32.4,25.1,19.6,57.4,X,관심,X,매우높음
2021-07-02,대구(143),X,29.3,28.8,24.0,20.3,69.0,X,관심,X,높음
2021-07-03,대구(143),X,26.3,24.8,22.7,21.4,78.8,X, ,X,보통
2021-07-04,대구(143),X,32.1,32.4,27.8,21.8,64.4,X,관심,X,높음
2021-07-05,대구(143),X,28.3,27.2,23.8,20.6,74.3,X,관심,X,보통
2021-07-06,대구(143),X,28.2,25.8,22.6,20.6,90.3,X, ,X,보통
2021-07-07,대구(143),X,29.6,26.2,24.2,22.6,95.0,X, ,X,보통
2021-07-08,대구(143),X,30.6,29.6,24.9,22.5,80.1,O, ,X,높음
2021-07-09,대구(143),X,30.5,29.1,24.7,22.1,84.0,O,주의,X,높음
2021-07-10,대구(143),X,32.2,32.6,25.6,,76.8,O,주의,X,매우높음
2021-07-11,대구(143),O,33.1,33.8,25.7,21.1,74.5,O,경고,X,높음
2021-07-12,대구(143),O,33.6,34.1,27.3,22.2,70.6,O,경고,X,매우높음
2021-07-13,대구(143),O,33.7,34.3,28.7,22.8,64.8,O,경고,X,매우높음
2021-07-14,대구(143),O,33.6,35.3,29.9,24.7,60.5,O,경고,O,매우높음
2021-07-15,대구(143),O,33.5,33.9,27.5,23.6,70.9,O,경고,X,매우높음
2021-07-16,대구(143),X,31.9,31.9,27.1,23.3,67.9,O,경고,X,높음
2021-07-17,대구(143),X,30.6,30.4,26.7,23.4,65.5,O,경고,X,보통
2021-07-18,대구(143),X,32.2,31.9,26.7,22.9,68.0,O,주의,X,보통
2021-07-19,대구(143),X,31.7,31.6,27.2,23.8,69.0,O,주의,X,높음
2021-07-20,대구(143),X,32.8,33.9,28.8,24.8,61.5,O,주의,X,매우높음
2021-07-21,대구(143),X,32.4,32.5,27.5,23.4,64.0,O,주의,X,매우높음
2021-07-22,대구(143),X,32.1,32.3,28.0,24.3,62.4,O,경고,X,매우높음
2021-07-23,대구(143),X,32.4,32.8,27.8,23.7,65.9,O,경고,X,매우높음
2021-07-24,대구(143),X,32.9,33.2,28.1,24.3,64.5,O,경고,X,매우높음
2021-07-25,대구(143),X,32.6,32.9,28.0,23.7,68.4,O,경고,X,매우높음
2021-07-26,대구(143),X,32.1,33.9,28.5,23.4,58.9,O,경고,X,매우높음
2021-07-27,대구(143),O,33.3,34.4,28.1,23.3,62.0,O,경고,X,매우높음
2021-07-28,대구(143),O,33.0,34.2,28.2,23.1,62.8,O,경고,X,매우높음
2021-07-29,대구(143),O,33.4,35.2,29.5,23.4,58.4,O,경고,O,매우높음
2021-07-30,대구(143),O,34.3,35.9,30.6,25.3,53.5,O,경고,O,매우높음
2021-07-31,대구(143),O,35.5,37.2,29.9,25.3,62.9,O,경고,O,높음
